"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.free.fr/212.27.48.10","443","INFO","HTTP","",""
"pre_128cipher","www.free.fr/212.27.48.10","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.free.fr/212.27.48.10","443","OK","not offered","",""
"SSLv3","www.free.fr/212.27.48.10","443","OK","not offered","",""
"TLS1","www.free.fr/212.27.48.10","443","LOW","offered (deprecated)","",""
"TLS1_1","www.free.fr/212.27.48.10","443","LOW","offered (deprecated)","",""
"TLS1_2","www.free.fr/212.27.48.10","443","OK","offered","",""
"TLS1_3","www.free.fr/212.27.48.10","443","OK","offered with final","",""
"ALPN_HTTP2","www.free.fr/212.27.48.10","443","OK","h2","",""
"ALPN","www.free.fr/212.27.48.10","443","INFO","http/1.1","",""
"cipherlist_NULL","www.free.fr/212.27.48.10","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.free.fr/212.27.48.10","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.free.fr/212.27.48.10","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.free.fr/212.27.48.10","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.free.fr/212.27.48.10","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.free.fr/212.27.48.10","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.free.fr/212.27.48.10","443","OK","offered","",""
"cipherlist_STRONG","www.free.fr/212.27.48.10","443","OK","offered","",""
"cipher_order","www.free.fr/212.27.48.10","443","OK","server","",""
"protocol_negotiated","www.free.fr/212.27.48.10","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","www.free.fr/212.27.48.10","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1","www.free.fr/212.27.48.10","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipherorder_TLSv1_1","www.free.fr/212.27.48.10","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipherorder_TLSv1_2","www.free.fr/212.27.48.10","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","www.free.fr/212.27.48.10","443","OK","offered","",""
"FS_ciphers","www.free.fr/212.27.48.10","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","www.free.fr/212.27.48.10","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.free.fr/212.27.48.10","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.free.fr/212.27.48.10","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.free.fr/212.27.48.10","443","INFO","yes","",""
"sessionresumption_ticket","www.free.fr/212.27.48.10","443","INFO","not supported","",""
"sessionresumption_ID","www.free.fr/212.27.48.10","443","INFO","not supported","",""
"TLS_timestamp","www.free.fr/212.27.48.10","443","INFO","random","",""
"certificate_compression","www.free.fr/212.27.48.10","443","INFO","none","",""
"clientAuth","www.free.fr/212.27.48.10","443","INFO","none","",""
"cert_numbers","www.free.fr/212.27.48.10","443","INFO","1","",""
"cert_signatureAlgorithm","www.free.fr/212.27.48.10","443","OK","SHA256 with RSA","",""
"cert_keySize","www.free.fr/212.27.48.10","443","INFO","RSA 2048 bits (exponent is 65537)","",""
