"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.lemonde.fr/151.101.54.217","443","INFO","HTTP","",""
"pre_128cipher","www.lemonde.fr/151.101.54.217","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.lemonde.fr/151.101.54.217","443","OK","not offered","",""
"SSLv3","www.lemonde.fr/151.101.54.217","443","OK","not offered","",""
"TLS1","www.lemonde.fr/151.101.54.217","443","INFO","not offered","",""
"TLS1_1","www.lemonde.fr/151.101.54.217","443","INFO","not offered","",""
"TLS1_2","www.lemonde.fr/151.101.54.217","443","OK","offered","",""
"TLS1_3","www.lemonde.fr/151.101.54.217","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","www.lemonde.fr/151.101.54.217","443","OK","h2","",""
"ALPN","www.lemonde.fr/151.101.54.217","443","INFO","http/1.1","",""
"cipherlist_NULL","www.lemonde.fr/151.101.54.217","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.lemonde.fr/151.101.54.217","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.lemonde.fr/151.101.54.217","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.lemonde.fr/151.101.54.217","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.lemonde.fr/151.101.54.217","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.lemonde.fr/151.101.54.217","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.lemonde.fr/151.101.54.217","443","OK","offered","",""
"cipherlist_STRONG","www.lemonde.fr/151.101.54.217","443","OK","offered","",""
"cipher_order","www.lemonde.fr/151.101.54.217","443","OK","server","",""
"protocol_negotiated","www.lemonde.fr/151.101.54.217","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","www.lemonde.fr/151.101.54.217","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","www.lemonde.fr/151.101.54.217","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","www.lemonde.fr/151.101.54.217","443","OK","offered","",""
"FS_ciphers","www.lemonde.fr/151.101.54.217","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.lemonde.fr/151.101.54.217","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.lemonde.fr/151.101.54.217","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
